id,name,code,alt_name,created_at,updated_at
1,MVP Open,mvp,Vibram Open; Maple Hill Open; MVP Open,2021-09-13 21:03:39,2021-09-13 21:03:39
2,Green Mountain Championship,gmc,,2021-09-13 21:03:39,2021-09-13 21:03:39
3,Music City Open,mco,Music City Open,2021-09-14 18:03:43,2021-09-14 18:03:43
4,United States Disc Golf Championship,usdgc,United States Disc Golf Championship,2021-09-14 18:11:12,2021-09-14 18:11:12
5,Las Vegas Challenge,lvc,"Gentlemen's Club Challenge",2021-09-14 18:16:14,2021-09-14 18:16:14
6,Memorial Championship,memorial,The Memorial Championship; The Memorial; Bob West Memorial,2021-09-14 18:24:38,2021-09-14 18:24:38
7,Waco Annual Charity Open,waco,Waco Charity Open,2021-09-14 18:49:04,2021-09-14 18:49:04
8,Texas State Disc Golf Championship,texasstate,Texas States Disc Golf Championship,2021-09-14 18:49:04,2021-09-14 18:49:04
9,PDGA Professional Disc Golf World Championships,worlds,PDGA Professional Disc Golf World Championships; PDGA Disc Golf World Championships,2021-09-14 18:57:44,2021-09-14 18:57:44
10,PDGA Junior Disc Golf World Championships,juniorworlds,PDGA Junior Disc Golf World Championships,2021-09-14 18:59:38,2021-09-14 18:59:38
11,PDGA Amateur Disc Golf World Championships,amworlds, PDGA Amateur Disc Golf World Championships,2021-09-14 19:01:29,2021-09-14 19:01:29
12,PDGA Professional Masters World Championships,promworlds,PDGA Pro Masters World Championships,2021-09-14 19:03:13,2021-09-14 19:03:13
13,Jonesboro Open,jonesboro,Jonesboro Open,2021-09-14 19:07:08,2021-09-14 19:07:08
14,Dynamic Discs Open,ddo,Glass Blown Open;Dynamic Discs Glass Blown Open,2022-01-07 20:26:41,2022-01-07 20:26:41
15,Beaver State Fling,bsf,huk lab Beaver State Fling,2022-01-08 09:56:35,2022-01-08 09:56:35
16,Northwest DGC,northwest,"Discraft's Portland Open; Beaver State Fling; Northwest DGC",2022-01-08 09:58:42,2022-01-08 09:58:42
17,Discraft Great Lakes Open,dglo,Great Lakes Open,2022-01-08 10:01:45,2022-01-08 10:01:45
20,The Preserve Championship,preserve,The Preserve Championship,2022-01-08 10:10:18,2022-01-08 10:10:18
21,Discraft Ledgestone Open,ldgo,Ledgestone Insurance Open;Ledgestone Insurance Championships,2022-01-08 10:20:28,2022-01-08 10:20:28
22,Shelly Sharpe Memorial,sharpe,Shelly Sharpe Memorial Disc Golf Classic,2022-01-17 17:09:24,2022-01-17 17:09:24
23,LWS Open at Idlewild,idlewild,Idlewild Open,2022-01-23 19:40:36,2022-01-23 19:40:36
24,Delaware Disc Golf Challenge,delaware,Delaware Disc Golf Challenge,2022-01-23 19:41:56,2022-01-23 19:41:56
25,The Ed Headrick Disc Golf Hall of Fame Classic,hof,"Disc Golf Hall of Fame Classic,DG Hall of Fame Classic",2022-01-23 19:43:19,2022-01-23 19:43:19
26,Infinite Discs Maricopa Open,maricopa,"Maricopa Open,Maricopa Meadows Open",2022-01-30 22:00:40,2022-01-30 22:00:40
27,"United States Women's Disc Golf Championships",uswomen,US Womens Disc Golf Championship,2022-02-04 21:24:17,2022-02-04 21:24:17
28,Wintertime Open,wintertime,"Bud Light Wintertime,Mattel Wintertime Open",2022-02-14 08:50:21,2022-02-14 08:50:21
29,European Open,eo,European Open,2022-02-14 14:53:14,2022-02-14 14:53:14
30,PDGA Champions Cup,champions,PDGA Champions Cup,2022-04-03 22:19:59,2022-04-03 22:19:59
31,OTB Open,otbo,"OTB Open,San Francisco Open",2022-05-04 09:01:48,2022-05-04 09:01:48
32,Discmania Challenge,dmc,Des Moines Challenge; The TruBank Des Moines Challenge; Discmania Challenge,2022-06-10 21:56:18,2022-06-10 21:56:18
33,Match Play Championship,mpc,Match Play Championship,2022-06-14 16:53:29,2022-06-14 16:53:29
34,DGPT Championship,dgptchamp,"DGPT Tour Championship,Pro Tour Championship",2022-10-08 21:59:43,2022-10-08 21:59:43
35,EDGF European Disc Golf Championship,edgc,"European Disc Golf Championships,European Championships",2022-11-14 21:24:00,2022-11-14 21:24:00